"gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","recordedByID","identifiedByID","hex_ids"
2465221331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36077736,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-11-28T03:56:25Z",NA,NA,"https://www.inaturalist.org/observations/36077736",NA,NA,NA,"© charley some rights reserved","charley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/36077736",36077736,NA,"charley",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-11-25T08:15:46","14:15:46Z",NA,NA,2019,11,25,"Mon Nov 25 2019 08:15:46 GMT-0600 (CST)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"Rose Brown May Pkwy, Fort Worth, TX, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78875011,NA,NA,NA,"2019-11-25T23:39:26",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:20.735Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:20.735Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2456557817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35571123,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-11-12T14:27:10Z",NA,NA,"https://www.inaturalist.org/observations/35571123",NA,NA,NA,"© crcrogers some rights reserved","crcrogers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/35571123",35571123,NA,"crcrogers",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-11-09T15:57:43","15:57:43Z",NA,NA,2019,11,9,"2019-11-09 3:57:43 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"Dallas, TX 75249, USA",NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77522093,NA,NA,NA,"2019-11-12T14:27:09",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:38:31.653Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:38:31.653Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2451594948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33783431,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_4_0",NA,NA,"2019-11-07T19:17:11Z",NA,NA,"https://www.inaturalist.org/observations/33783431",NA,NA,NA,"© Roz Hunter some rights reserved","Roz Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/33783431",33783431,NA,"Roz Hunter",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-29T12:05:51","17:05:51Z",NA,NA,2019,9,29,"Sun Sep 29 2019 12:05:51 GMT-0500 (CDT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"Sandy Ln, Fort Worth, TX, US",NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73154750,NA,NA,NA,"2019-10-03T03:12:38",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:19.645Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:19.645Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2445062024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34801434,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-11-03T03:09:20Z",NA,NA,"https://www.inaturalist.org/observations/34801434",NA,NA,NA,"© charley some rights reserved","charley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/34801434",34801434,NA,"charley",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-10-23T07:29:16","12:29:16Z",NA,NA,2019,10,23,"Wed Oct 23 2019 07:29:16 GMT-0500 (CDT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"NW Green Oaks Blvd, Arlington, TX, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75503866,NA,NA,NA,"2019-10-23T21:21:04",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:38:31.350Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:38:31.350Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2444953983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34752105,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-11-04T23:37:08Z",NA,NA,"https://www.inaturalist.org/observations/34752105",NA,NA,NA,"© charley some rights reserved","charley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/34752105",34752105,NA,"charley",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-10-22T14:17:53","19:17:53Z",NA,NA,2019,10,22,"Tue Oct 22 2019 14:17:53 GMT-0500 (CDT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"River Legacy Parks, Arlington, TX, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75385998,NA,NA,NA,"2019-10-22T20:24:34",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:57.301Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:57.301Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2269301105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27236571,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-06-21T22:31:18Z",NA,NA,"https://www.inaturalist.org/observations/27236571",NA,NA,NA,"© Judy some rights reserved","Judy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/27236571",27236571,NA,"Judy",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-06-18T08:30:38","13:30:38Z",NA,NA,2019,6,18,"Tue Jun 18 2019 08:30:38 GMT-0500 (CDT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"Cedar Ridge Preserve, Dallas, TX, US",NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59396841,NA,NA,NA,"2019-06-18T22:26:40",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:20.671Z",NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:20.671Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2265818529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26572012,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-06-08T15:54:40Z",NA,NA,"https://www.inaturalist.org/observations/26572012",NA,NA,NA,"© charley some rights reserved","charley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/26572012",26572012,NA,"charley",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-06-07T13:51:40","18:51:40Z",NA,NA,2019,6,7,"Fri Jun 07 2019 13:51:40 GMT-0500 (CDT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"7220 W Interstate 20, Arlington, TX, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58054768,NA,NA,NA,"2019-06-07T21:23:54",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:23.695Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:23.695Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2251838542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23753881,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-06-02T17:50:20Z",NA,NA,"https://www.inaturalist.org/observations/23753881",NA,NA,NA,"© tvu some rights reserved","tvu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/23753881",23753881,NA,"tvu",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-04-25T12:10:18","17:10:18Z",NA,NA,2019,4,25,"Thu Apr 25 2019 12:10:18 GMT-0500 (CDT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"River Legacy, Arlington, TX, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:14.031Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:14.031Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2251835361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23209659,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-06-02T17:54:24Z",NA,NA,"https://www.inaturalist.org/observations/23209659",NA,NA,NA,"© psweet some rights reserved","psweet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/23209659",23209659,NA,"psweet",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-03-30T10:48:00","15:48:00Z",NA,NA,2019,3,30,"2019/03/30 10:48 AM CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"Cedar Ridge Preserve, Dallas Co, TX",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51522162,NA,NA,NA,"2019-04-26T20:04:10",NA,NA,"",48500,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis var. texensis (S.Watson) M.Hopkins",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","texensis","VARIETY",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:38:24.441Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353585,5353585,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis var. texensis (S.Watson) M.Hopkins","Cercis canadensis texensis",NA,"DWC_ARCHIVE","2020-04-29T02:38:24.441Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
2251832793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22593777,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC_BY_NC_4_0",NA,NA,"2019-06-02T17:57:05Z",NA,NA,"https://www.inaturalist.org/observations/22593777",NA,NA,NA,"© vpham some rights reserved","vpham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/22593777",22593777,NA,"vpham",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-04-16T13:48:15","18:48:15Z",NA,NA,2019,4,16,"2019-04-16 1:48:15 PM CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","Texas",NA,NA,NA,"1680 Matlock Rd, Mansfield, TX 76063, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",48502,NA,NA,NA,NA,NA,NA,NA,"Cercis canadensis L.",NA,NA,NA,NA,NA,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis",NA,"canadensis","","SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US","2020-04-29T02:37:18.619Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","StillImage",TRUE,FALSE,5353583,5353583,6,7707728,220,1370,5386,2955919,NA,5353583,"Cercis canadensis","Cercis","Cercis canadensis L.","Cercis canadensis",NA,"DWC_ARCHIVE","2020-04-29T02:37:18.619Z","2020-04-29T01:20:22.928Z",FALSE,NA,"","",7955
