Observation_ID,Update_Datetime,Site_ID,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,hex_ids
16397391,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,4/4/2019,94,0,-9999,-9999,-9999,7955
16508158,4/17/2019 17:56,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,4/2/2019,92,1,50,50-74%,-9999,7955
18015039,10/2/2019 13:32,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,9/25/2019,268,0,50,-9999,-9999,7955
20927154,11/6/2019 19:15,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,9/30/2019,273,0,50,-9999,-9999,7955
18198012,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,10/9/2019,282,0,50,-9999,-9999,7955
20980951,11/13/2019 13:42,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,10/11/2019,284,0,50,-9999,-9999,7955
20815445,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,10/23/2019,296,0,50,-9999,-9999,7955
20973306,11/13/2019 10:53,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,10/24/2019,297,0,50,-9999,-9999,7955
20930884,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,11/7/2019,311,0,50,-9999,-9999,7955
20980960,11/13/2019 13:42,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,11/8/2019,312,0,50,-9999,-9999,7955
16484741,4/15/2019 14:22,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177010,501,Open flowers,2/15/2019,46,0,50,-9999,-9999,7955
16248758,3/27/2019 11:44,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177014,501,Open flowers,2/20/2019,51,0,50,-9999,-9999,7955
18130566,10/15/2019 5:38,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,210252,501,Open flowers,10/8/2019,281,0,50,-9999,-9999,7955
16485118,4/15/2019 14:32,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177010,501,Open flowers,3/1/2019,60,0,50,-9999,-9999,7955
16492649,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177014,501,Open flowers,3/21/2019,80,1,50,25-49%,-9999,7955
20966410,11/12/2019 8:55,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,210252,501,Open flowers,10/24/2019,297,1,50,Less than 5%,-9999,7955
16183131,3/25/2019 9:48,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177010,501,Open flowers,3/21/2019,80,1,50,-9999,-9999,7955
20949388,11/10/2019 23:26,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,210252,501,Open flowers,11/9/2019,313,0,50,-9999,-9999,7955
16486758,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177010,501,Open flowers,4/12/2019,102,0,50,-9999,-9999,7955
20974668,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177010,501,Open flowers,11/4/2019,308,0,50,-9999,-9999,7955
18174536,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177010,501,Open flowers,10/14/2019,287,0,50,-9999,-9999,7955
16029496,3/6/2019 13:57,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,2/27/2019,58,0,-9999,-9999,-9999,7955
16397604,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,3/13/2019,72,1,50,95% or more,-9999,7955
16508699,4/16/2019 14:17,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,3/1/2019,60,0,50,-9999,-9999,7955
16404672,-9999,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,4/1/2019,91,0,-9999,-9999,-9999,7955
16509125,4/16/2019 14:36,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,3/29/2019,88,1,50,75-94%,-9999,7955
18005871,10/9/2019 21:03,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,9/24/2019,267,0,50,-9999,-9999,7955
20981036,11/13/2019 13:42,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,9/28/2019,271,0,50,-9999,-9999,7955
18146315,10/17/2019 7:43,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,10/8/2019,281,0,50,-9999,-9999,7955
20973275,11/12/2019 23:17,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,10/10/2019,283,0,50,-9999,-9999,7955
20814540,11/3/2019 13:38,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177015,501,Open flowers,10/22/2019,295,0,50,-9999,-9999,7955
20973782,11/13/2019 6:14,25330,187,TX,7,Cercis,canadensis,eastern redbud,Plantae,177011,501,Open flowers,10/22/2019,295,0,50,-9999,-9999,7955
