ID,Event,Date,Town,State/Prov,Lat,Long
1526352570,Monarch Adult (FIRST sighted),7/31/2018,Norway,ME,44.2212,-70.5651
1526352391,Monarch Adult (FIRST sighted),7/30/2018,Meriden,CT,41.5382,-72.807
1526352392,Monarch Adult (FIRST sighted),7/30/2018,Meriden,CT,41.5382,-72.807
1526352394,Monarch Adult (FIRST sighted),7/30/2018,Madison,CT,41.2667,-72.5584
1526352410,Monarch Adult (FIRST sighted),7/30/2018,Varna,IL,40.9803,-89.2762
1526352477,Monarch Adult (FIRST sighted),7/30/2018,Huntersville,NC,35.4107,-80.8429
1526352518,Monarch Adult (FIRST sighted),7/30/2018,Santa Fe,NM,35.5652,-106.1026
1526352286,Monarch Adult (FIRST sighted),7/29/2018,Deep River,CT,41.3618,-72.4887
1526352318,Monarch Adult (FIRST sighted),7/29/2018,Broken Arrow,OK,35.9913,-95.7707
1526352319,Monarch Adult (FIRST sighted),7/29/2018,Oxford,CT,41.4287,-73.182
1526352329,Monarch Adult (FIRST sighted),7/29/2018,Pittsburgh,PA,40.4526,-80.0065
1526352502,Monarch Adult (FIRST sighted),7/29/2018,Canton,NC,35.4038,-82.7537
1526352512,Monarch Adult (FIRST sighted),7/29/2018,Galesburg,MI,42.2872,-85.4216
1526352554,Monarch Adult (FIRST sighted),7/29/2018,South Euclid,OH,41.5165,-81.5331
1526352573,Monarch Adult (FIRST sighted),7/29/2018,Erie,CO,40.0198,-105.0842
1526352160,Monarch Adult (FIRST sighted),7/28/2018,Ashland,VA,37.7933,-77.5386
1526352201,Monarch Adult (FIRST sighted),7/28/2018,Glen Haven,NS,44.642,-63.9101
1526352203,Monarch Adult (FIRST sighted),7/28/2018,Raeford,NC,34.9776,-79.1372
1526352211,Monarch Adult (FIRST sighted),7/28/2018,Lexington,SC,34.0164,-81.2296
1526352287,Monarch Adult (FIRST sighted),7/28/2018,Afton,VA,37.9312,-78.8292
1526352299,Monarch Adult (FIRST sighted),7/28/2018,Ada,OK,34.7595,-96.6776
1526352320,Monarch Adult (FIRST sighted),7/28/2018,Manchester,NH,42.9696,-71.4502
1526352369,Monarch Adult (FIRST sighted),7/28/2018,Lake Ozark,MO,38.2119,-92.6639
1526352577,Monarch Adult (FIRST sighted),7/28/2018,Kingston,NY,41.9506,-73.9956
1526352036,Monarch Adult (FIRST sighted),7/27/2018,Caledon,ON,43.7516,-79.9209
1526352151,Monarch Adult (FIRST sighted),7/27/2018,Mahopac,NY,41.3723,-73.7335
1526352234,Monarch Adult (FIRST sighted),7/27/2018,Catonsville,MD,39.2678,-76.7597
1526352305,Monarch Adult (FIRST sighted),7/27/2018,Leicester,MA,42.2459,-71.9087
1526351943,Monarch Adult (FIRST sighted),7/26/2018,Longueuil,QC,45.4983,-73.4065
1526351971,Monarch Adult (FIRST sighted),7/26/2018,Mount Vernon,NY,40.9126,-73.8371
1526351974,Monarch Adult (FIRST sighted),7/26/2018,Annapolis,MD,38.9385,-76.4564
1526351983,Monarch Adult (FIRST sighted),7/26/2018,Concord,NC,35.4273,-80.6343
1526352020,Monarch Adult (FIRST sighted),7/26/2018,Albuquerque,NM,35.1444,-106.51
1526351888,Monarch Adult (FIRST sighted),7/25/2018,Tucker,GA,33.8208,-84.2212
1526351892,Monarch Adult (FIRST sighted),7/25/2018,Edmond,OK,35.6162,-97.462
1526351933,Monarch Adult (FIRST sighted),7/25/2018,Sherwood,AR,34.8186,-92.2102
1526352322,Monarch Adult (FIRST sighted),7/25/2018,Manchester,NH,43.0036,-71.4628
1526351660,Monarch Adult (FIRST sighted),7/24/2018,Colorado Springs,CO,38.7624,-104.7488
1526351874,Monarch Adult (FIRST sighted),7/24/2018,Bristol,VT,44.1361,-73.0758
1526351893,Monarch Adult (FIRST sighted),7/24/2018,Madison,VA,38.4407,-78.2768
1526352022,Monarch Adult (FIRST sighted),7/24/2018,North Myrtle Beach,SC,33.816,-78.68
1526351666,Monarch Adult (FIRST sighted),7/23/2018,Millville,NJ,39.4658,-75.1324
1526351687,Monarch Adult (FIRST sighted),7/23/2018,Arlington,VA,38.8832,-77.0984
1526351693,Monarch Adult (FIRST sighted),7/23/2018,Ratter Corner,NB,45.6405,-65.5883
1526351711,Monarch Adult (FIRST sighted),7/23/2018,Norman,OK,35.2573,-97.426
1526351567,Monarch Adult (FIRST sighted),7/22/2018,Sedalia,MO,38.7045,-93.2283
1526351599,Monarch Adult (FIRST sighted),7/22/2018,East Lansing,MI,42.7422,-84.4912
1526351648,Monarch Adult (FIRST sighted),7/22/2018,Gibson City,IL,40.4626,-88.3673
1526351659,Monarch Adult (FIRST sighted),7/22/2018,Wake Forest,NC,35.9799,-78.5097
1526351805,Monarch Adult (FIRST sighted),7/22/2018,Lansdowne,PA,39.9638,-75.3952
1526351495,Monarch Adult (FIRST sighted),7/21/2018,Parma,OH,41.4151,-81.7458
1526351511,Monarch Adult (FIRST sighted),7/21/2018,Seymour,TN,35.8726,-83.774
1526352237,Monarch Adult (FIRST sighted),7/21/2018,Beaufort,NC,34.7229,-76.5714
1526351389,Monarch Adult (FIRST sighted),7/20/2018,Cumberland Bay,NB,45.9974,-65.9423
1526351416,Monarch Adult (FIRST sighted),7/20/2018,Adamstown,MD,39.3115,-77.4754
1526351518,Monarch Adult (FIRST sighted),7/20/2018,Fort Salonga,NY,40.9203,-73.2843
1526351581,Monarch Adult (FIRST sighted),7/20/2018,Macedon,NY,43.0866,-77.3515
1526352478,Monarch Adult (FIRST sighted),7/20/2018,Rocky Point,PE,46.203,-63.1596
1526351335,Monarch Adult (FIRST sighted),7/19/2018,Redford Charter Township,MI,42.4258,-83.3144
1526351358,Monarch Adult (FIRST sighted),7/19/2018,Kingston,NY,41.9502,-73.9959
1526351583,Monarch Adult (FIRST sighted),7/19/2018,Macedon,NY,43.0909,-77.3478
1526352082,Monarch Adult (FIRST sighted),7/19/2018,Woodbury,NY,41.358,-74.0881
1526352253,Monarch Adult (FIRST sighted),7/19/2018,Milton,ON,43.5721,-79.9802
1526351223,Monarch Adult (FIRST sighted),7/18/2018,Eureka Springs,AR,36.4012,-93.738
1526351263,Monarch Adult (FIRST sighted),7/18/2018,Prescott Valley,AZ,34.5552,-112.2394
1526351304,Monarch Adult (FIRST sighted),7/18/2018,White Hall,MD,39.6198,-76.629
1526352107,Monarch Adult (FIRST sighted),7/18/2018,Burlington,ON,43.3226,-79.8219
1526352531,Monarch Adult (FIRST sighted),7/18/2018,Boulder,CO,40.0398,-105.2373
1526351051,Monarch Adult (FIRST sighted),7/17/2018,Lynn,MA,42.4715,-70.9631
1526351060,Monarch Adult (FIRST sighted),7/17/2018,Lunenburg,NS,44.3317,-64.4248
1526351072,Monarch Adult (FIRST sighted),7/17/2018,Mount Holly,VT,43.4308,-72.7882
1526351115,Monarch Adult (FIRST sighted),7/17/2018,Nether Providence Township,PA,39.8721,-75.3697
