estimate,true_value,distance,obs,sd,estimator,perc,Q
128.1377336,113.29,14.84773364,10,10,belitz,onset,0
142.3058417,113.29,29.01584172,10,10,belitz,onset,0
123.3406226,113.29,10.05062262,10,10,belitz,onset,0
112.4643097,113.29,-0.82569031,10,10,belitz,onset,0
115.4908791,113.29,2.200879088,10,10,belitz,onset,0
107.0146933,113.29,-6.275306661,10,10,belitz,onset,0
96.62496731,113.29,-16.66503269,10,10,belitz,onset,0
59.69005448,113.29,-53.59994552,10,10,belitz,onset,0
135.1891924,113.29,21.89919237,10,10,belitz,onset,0
86.01489103,113.29,-27.27510897,10,10,belitz,onset,0
144.8784116,113.29,31.58841158,10,10,belitz,onset,0
121.4550099,113.29,8.165009871,10,10,belitz,onset,0
83.35409342,113.29,-29.93590658,10,10,belitz,onset,0
112.767926,113.29,-0.522074012,10,10,belitz,onset,0
132.6410147,113.29,19.35101472,10,10,belitz,onset,0
101.0709933,113.29,-12.21900669,10,10,belitz,onset,0
111.119082,113.29,-2.170918006,10,10,belitz,onset,0
126.7027032,113.29,13.41270325,10,10,belitz,onset,0
95.91865367,113.29,-17.37134633,10,10,belitz,onset,0
111.1864376,113.29,-2.10356235,10,10,belitz,onset,0
109.5221609,113.29,-3.767839051,10,10,belitz,onset,0
104.1250548,113.29,-9.164945151,10,10,belitz,onset,0
163.9674417,113.29,50.6774417,10,10,belitz,onset,0
118.8322246,113.29,5.542224631,10,10,belitz,onset,0
77.4283167,113.29,-35.8616833,10,10,belitz,onset,0
98.99371788,113.29,-14.29628212,10,10,belitz,onset,0
106.9675493,113.29,-6.322450671,10,10,belitz,onset,0
109.374292,113.29,-3.915707953,10,10,belitz,onset,0
88.39871238,113.29,-24.89128762,10,10,belitz,onset,0
113.0615839,113.29,-0.228416142,10,10,belitz,onset,0
144.4563033,113.29,31.16630326,10,10,belitz,onset,0
81.3440362,113.29,-31.9459638,10,10,belitz,onset,0
123.8987369,113.29,10.60873685,10,10,belitz,onset,0
89.54721441,113.29,-23.74278559,10,10,belitz,onset,0
135.4277435,113.29,22.13774354,10,10,belitz,onset,0
100.5450269,113.29,-12.74497313,10,10,belitz,onset,0
144.2513272,113.29,30.96132717,10,10,belitz,onset,0
105.6417093,113.29,-7.648290687,10,10,belitz,onset,0
106.6054072,113.29,-6.684592837,10,10,belitz,onset,0
74.29329143,113.29,-38.99670857,10,10,belitz,onset,0
107.1918102,113.29,-6.098189832,10,10,belitz,onset,0
95.37850292,113.29,-17.91149708,10,10,belitz,onset,0
95.6934459,113.29,-17.5965541,10,10,belitz,onset,0
107.5581991,113.29,-5.731800948,10,10,belitz,onset,0
117.3547202,113.29,4.064720173,10,10,belitz,onset,0
107.0394459,113.29,-6.250554075,10,10,belitz,onset,0
104.6618834,113.29,-8.628116567,10,10,belitz,onset,0
93.75754706,113.29,-19.53245294,10,10,belitz,onset,0
116.3712335,113.29,3.081233502,10,10,belitz,onset,0
100.8325387,113.29,-12.45746134,10,10,belitz,onset,0
97.15086501,113.29,-16.13913499,10,10,belitz,onset,0
92.19418133,113.29,-21.09581867,10,10,belitz,onset,0
83.83640976,113.29,-29.45359024,10,10,belitz,onset,0
100.9612106,113.29,-12.32878943,10,10,belitz,onset,0
118.5818635,113.29,5.291863463,10,10,belitz,onset,0
136.8164112,113.29,23.52641124,10,10,belitz,onset,0
110.8775791,113.29,-2.412420883,10,10,belitz,onset,0
134.317725,113.29,21.02772497,10,10,belitz,onset,0
73.08657435,113.29,-40.20342565,10,10,belitz,onset,0
143.263784,113.29,29.973784,10,10,belitz,onset,0
107.0055371,113.29,-6.284462946,10,10,belitz,onset,0
62.08314083,113.29,-51.20685917,10,10,belitz,onset,0
95.03606798,113.29,-18.25393202,10,10,belitz,onset,0
117.0927962,113.29,3.802796186,10,10,belitz,onset,0
149.869982,113.29,36.57998202,10,10,belitz,onset,0
165.5941733,113.29,52.30417333,10,10,belitz,onset,0
98.845997,113.29,-14.444003,10,10,belitz,onset,0
116.8268535,113.29,3.536853539,10,10,belitz,onset,0
143.7268421,113.29,30.43684214,10,10,belitz,onset,0
117.9319092,113.29,4.641909178,10,10,belitz,onset,0
126.3907653,113.29,13.10076535,10,10,belitz,onset,0
70.08326153,113.29,-43.20673847,10,10,belitz,onset,0
93.67860516,113.29,-19.61139484,10,10,belitz,onset,0
127.8281588,113.29,14.53815875,10,10,belitz,onset,0
132.6144626,113.29,19.32446259,10,10,belitz,onset,0
97.74417755,113.29,-15.54582245,10,10,belitz,onset,0
66.08655273,113.29,-47.20344727,10,10,belitz,onset,0
129.1717929,113.29,15.88179289,10,10,belitz,onset,0
107.5939631,113.29,-5.696036933,10,10,belitz,onset,0
140.729842,113.29,27.43984199,10,10,belitz,onset,0
69.98533861,113.29,-43.30466139,10,10,belitz,onset,0
122.2293926,113.29,8.93939255,10,10,belitz,onset,0
110.1679275,113.29,-3.122072482,10,10,belitz,onset,0
77.31472596,113.29,-35.97527404,10,10,belitz,onset,0
88.55515062,113.29,-24.73484938,10,10,belitz,onset,0
118.3496803,113.29,5.059680333,10,10,belitz,onset,0
141.1835027,113.29,27.89350266,10,10,belitz,onset,0
121.3351584,113.29,8.045158438,10,10,belitz,onset,0
106.0744839,113.29,-7.21551609,10,10,belitz,onset,0
99.32404256,113.29,-13.96595744,10,10,belitz,onset,0
71.66596715,113.29,-41.62403285,10,10,belitz,onset,0
114.1387309,113.29,0.848730855,10,10,belitz,onset,0
140.0296998,113.29,26.73969977,10,10,belitz,onset,0
85.4599006,113.29,-27.8300994,10,10,belitz,onset,0
94.81071407,113.29,-18.47928593,10,10,belitz,onset,0
84.84572879,113.29,-28.44427121,10,10,belitz,onset,0
80.96356989,113.29,-32.32643011,10,10,belitz,onset,0
113.3266174,113.29,0.036617376,10,10,belitz,onset,0
88.19136844,113.29,-25.09863156,10,10,belitz,onset,0
142.6322802,113.29,29.34228021,10,10,belitz,onset,0
106.3941975,76.58,29.81419746,10,20,belitz,onset,0
130.1748779,76.58,53.59487787,10,20,belitz,onset,0
115.3676325,76.58,38.78763251,10,20,belitz,onset,0
97.14454498,76.58,20.56454498,10,20,belitz,onset,0
121.9242818,76.58,45.34428182,10,20,belitz,onset,0
