"estimate","true_value","distance","obs","sd","estimator","perc","Q"
195.394635875374,199.89,-4.49536412462641,10,10,"mean","Mean",50.5
192.751690614832,199.89,-7.13830938516787,10,10,"mean","Mean",50.5
193.022729033015,199.89,-6.86727096698527,10,10,"mean","Mean",50.5
191.387082397412,199.89,-8.5029176025875,10,10,"mean","Mean",50.5
196.58672993025,199.89,-3.30327006975,10,10,"mean","Mean",50.5
190.994045987005,199.89,-8.89595401299488,10,10,"mean","Mean",50.5
194.38735793799,199.89,-5.5026420620097,10,10,"mean","Mean",50.5
197.842982230281,199.89,-2.0470177697193,10,10,"mean","Mean",50.5
191.379223062389,199.89,-8.51077693761064,10,10,"mean","Mean",50.5
194.814158221815,199.89,-5.07584177818541,10,10,"mean","Mean",50.5
193.03693128602,199.89,-6.85306871398021,10,10,"mean","Mean",50.5
194.042625141501,199.89,-5.84737485849882,10,10,"mean","Mean",50.5
191.698891327673,199.89,-8.19110867232726,10,10,"mean","Mean",50.5
194.879175643534,199.89,-5.01082435646595,10,10,"mean","Mean",50.5
190.242883632079,199.89,-9.6471163679214,10,10,"mean","Mean",50.5
190.231355935159,199.89,-9.65864406484121,10,10,"mean","Mean",50.5
194.281907740612,199.89,-5.60809225938837,10,10,"mean","Mean",50.5
199.99292133074,199.89,0.102921330740031,10,10,"mean","Mean",50.5
195.02315928845,199.89,-4.86684071154994,10,10,"mean","Mean",50.5
198.569908986077,199.89,-1.32009101392339,10,10,"mean","Mean",50.5
190.831687728856,199.89,-9.0583122711443,10,10,"mean","Mean",50.5
199.573948412168,199.89,-0.316051587832163,10,10,"mean","Mean",50.5
193.067979846113,199.89,-6.82202015388722,10,10,"mean","Mean",50.5
193.338645478564,199.89,-6.55135452143637,10,10,"mean","Mean",50.5
193.235528869302,199.89,-6.65447113069752,10,10,"mean","Mean",50.5
193.952664698107,199.89,-5.93733530189306,10,10,"mean","Mean",50.5
193.489064659432,199.89,-6.40093534056822,10,10,"mean","Mean",50.5
187.061018899379,199.89,-12.8289811006209,10,10,"mean","Mean",50.5
188.682805838747,199.89,-11.2071941612531,10,10,"mean","Mean",50.5
190.870755578627,199.89,-9.01924442137289,10,10,"mean","Mean",50.5
193.311045631004,199.89,-6.57895436899588,10,10,"mean","Mean",50.5
194.829484400139,199.89,-5.06051559986111,10,10,"mean","Mean",50.5
197.399283770917,199.89,-2.4907162290834,10,10,"mean","Mean",50.5
